;;;;;;;
Anexo I - FDCA Fundos Habilitados 2023;;;;;;;
;;;;;;;
N�;CNPJ;IBGE;UF;Munic�pio/Estado;Banco;Ag�ncia;Conta
163;31552547000123;2911105;BA;Formosa do Rio Preto;001;1062;00000000000000202827
164;23015343000125;2911402;BA;Gl�ria;001;0621;00000000000000616648
165;43059042000100;2911600;BA;Governador Mangabeira;001;2085;00000000000000259918
166;18768628000105;2911659;BA;Guajeru;001;1048;00000000000000262765
167;26294176000197;2911709;BA;Guanambi;001;0923;00000000000000487236
168;18211566000128;2911808;BA;Guaratinga;001;2099;00000000000000180009
169;20687308000164;2912004;BA;Ibiassuc�;001;2109;00000000000000165034
170;34316384000178;2912103;BA;Ibicara�;001;0564;00000000000000187143
171;37221668000179;2912202;BA;Ibicoara;001;1496;00000000000000256358
172;16880364000143;2912400;BA;Ibipeba;001;3842;00000000000001128949
173;23283410000192;2912509;BA;Ibipitanga;001;1091;00000000000000367761
174;31852701000182;2912806;BA;Ibirapu�;001;2114;00000000000000129208
175;41467201000180;2913002;BA;Ibitiara;001;4181;00000000000000122432
176;21120500000137;2913200;BA;Ibotirama;001;0817;00000000000000251186
177;23435486000196;2913408;BA;Igapor�;001;4190;00000000000000126071
178;07696943000140;2913457;BA;Igrapi�na;001;1286;00000000000000199532
179;13035507000122;2913606;BA;Ilh�us;001;0019;00000000000000619736
180;24108432000189;2913705;BA;Inhambupe;001;1072;00000000000000319295
181;21110342000134;2913804;BA;Ipecaet�;104;3791;00000000000000000328
182;21606127000129;2913903;BA;Ipia�;001;0357;00000000000000317012
183;32839809000106;2914000;BA;Ipir�;001;0930;0000000000000035922X
184;20667875000159;2914406;BA;Iraquara;104;4601;00000000000000710226
